StoreID,StoreLocation,AnnualSales,NumberOfEmployees,MonthlyFootTraffic,CustomerSatisfactionScore,AverageTransactionValue,OperatingHours,StoreSize,ProductVariety
1,Urban,765951.6178435958,8,7509.409097503274,5.997531052007733,219.68804744842063,9-5,346.4243616469655,100
2,Suburban,970260.3531700599,19,4177.683775289795,9.706365064159561,138.874729870285,11-7,291.92151455585844,137
3,nan,472994.22270566894,47,4494.583873025187,8.463078326326428,256.6523036428213,10-6,844.6094634069717,168
4,Suburban,419841.83355494606,26,5574.808511442046,8.850156078043991,445.3110505983798,11-7,889.8611479946851,99
5,Suburban,139476.1867897443,41,2180.563538969399,,440.4519165526618,10-6,419.3523203591676,95
6,Rural,265783.87586694444,10,4228.520757603889,,341.8129316192074,9-5,876.6685507272609,199
7,Urban,313470.66884650826,45,9464.404159575086,4.0589348855711895,189.2793769959874,11-7,215.18592698215954,160
8,Rural,265154.02036420465,49,2625.6585539415582,8.45256396416709,391.74399245442606,10-6,850.9809893627925,75
9,Urban,779305.503876908,21,3836.4755682921464,1.9238699481471273,391.3331914472179,11-7,491.77815030958254,120
10,Urban,582294.6831485005,12,8265.505075374525,7.166026884713852,447.5987921010945,11-7,711.9586873061769,82
11,Urban,700870.4213126205,25,3249.808233206892,6.804138876555597,455.03875907827364,10-6,914.1781923917068,116
12,nan,838415.9447554363,24,2483.1138061996253,3.3518632916298685,167.1321415854788,9-5,629.9539758944753,31
13,Suburban,307696.5471573052,7,2714.630414895416,6.6894532796271315,280.6048172043385,10-6,867.9173179419093,135
14,Rural,393331.5458393492,37,9871.087732979755,,297.2055262701116,10-6,219.02220643505632,86
15,Rural,737524.2403329371,40,4719.768490756438,6.5364924688347505,116.29222680569548,9-5,196.48809549162692,123
16,Urban,453483.05131402554,23,4563.705963362145,2.656387093177872,474.4632253801553,10-6,374.6557599850328,64
17,Suburban,126343.84609093973,22,7813.162150299595,3.7554617217426824,354.6625902861116,nan,775.4111947440309,30
18,Suburban,491459.69712419016,7,1564.6570905938843,4.164025904313714,386.19046883575476,11-7,977.8089414863529,137
19,nan,917445.7777738728,14,2525.8406462166513,3.800524135943466,242.9796708468405,9-5,616.9137747731196,183
20,Suburban,468119.3604335872,47,7478.920914163715,7.159667335020567,435.74416212991935,nan,392.0045256116321,136
21,Urban,399024.0247984723,11,3876.8614024484305,9.550025023340794,435.63360726778006,9-5,196.92681143038476,32
22,nan,990572.5746505244,26,7315.104795239421,5.5351914699946345,52.936097599221185,9-5,232.08036598212718,161
23,Urban,679974.0078133119,12,1205.7430958199222,8.112313469530363,424.897625897961,11-7,579.2176609163198,139
24,Urban,429398.2238240628,26,6313.236568762342,9.499465653431681,428.097208321043,10-6,270.5094573560357,147
25,Suburban,191817.57822742662,14,5898.211738598611,4.369999739839894,416.1872515513088,10-6,852.5671064158869,139
26,Rural,809064.5004517791,30,2303.7073779589073,1.4165082797677502,206.70821092820006,9-5,757.0219115345521,130
27,Urban,737267.4401389819,23,2068.6227646873376,7.779714441483668,299.59857749827336,9-5,767.941205795033,67
28,Rural,929724.2193237084,12,9353.387784732746,7.614912957057417,286.23811111232703,10-6,216.5578335304303,189
29,Urban,295548.06702520745,19,5545.152444962184,3.7292641994954905,380.218367976324,9-5,787.7568215350514,135
30,Suburban,203431.91498940877,9,1449.1047634783283,3.422168954462856,491.5811818129568,9-5,323.39346325097165,37
31,Suburban,751665.2737681572,33,2337.0205545319086,7.329953415259797,49.20811707880748,10-6,509.9132664616695,183
32,Rural,283056.2577988261,24,7052.975385431217,2.4076461898426373,398.9932017606979,10-6,845.9181611162128,58
33,Urban,258493.4540105465,14,5290.87998510159,8.591034026985675,220.55898775164385,10-6,273.52543459613173,183
34,Suburban,387826.60185646487,32,6378.965076904988,8.745661258257355,200.08639627624913,10-6,177.36834712696464,118
35,Suburban,835142.6273305939,25,5124.475757891951,,304.79236066066903,9-5,159.43894004424453,59
36,Suburban,585582.9445986677,7,9329.634752726206,2.9692448640770355,118.8848540005117,10-6,979.9257829081083,197
37,Urban,141265.31959205287,18,8427.238549217174,9.541027504162145,437.296546685523,9-5,112.23462341035315,113
38,Rural,517505.2071933855,37,9821.300490755695,3.1175342067966927,45.31150148419055,nan,529.2385874286335,105
39,Urban,715581.6502298277,20,9453.096475421964,3.7810093632128616,69.61034767514391,10-6,272.33361096592773,158
40,Rural,584531.5946221142,10,7558.281088014171,4.976488444707557,410.6403523946334,10-6,343.78803715349255,95
41,Rural,615205.1963409004,17,1472.7737891924335,5.6865695359649395,351.5234025001537,nan,914.771438247452,121
42,Urban,302299.59555339813,47,9991.915989912759,5.099655899171458,371.0906205305066,9-5,675.0355518620671,136
43,Rural,862965.3984358133,42,5259.868260927894,1.0018625363385785,202.54639300181375,10-6,621.2157007605487,128
44,Urban,605258.8458320117,10,1548.973320727901,8.75976813724796,362.2774343767951,10-6,751.3131943275889,91
45,Urban,741921.411736609,35,9922.809794523784,1.2136475926812094,167.19519860396142,11-7,686.3511070558513,145
46,Urban,983677.7953119723,12,6133.3904585929895,,395.3551392373484,9-5,784.9722830786909,41
47,Suburban,485378.79190707894,25,5131.036204740733,8.405359705405255,84.92085693365352,11-7,356.1985853998846,28
48,Suburban,892959.9514088577,24,1178.1048774975695,9.43029197077898,465.1355094412114,9-5,939.6346615640086,103
49,Rural,106552.91254701251,39,4855.610525108579,3.825671051644071,432.95170308444233,9-5,412.7289500962208,34
50,nan,130066.56335360809,31,2649.436724693073,2.6173629973547077,20.488466936517078,10-6,322.15174241364497,190
51,Urban,631251.9295559352,44,7470.54092938667,1.4885787361678493,205.90598024830842,nan,272.4308496668373,43
52,Suburban,380304.4559879806,16,1070.8021227121812,7.189684272326346,151.86322528207438,11-7,530.6679379675268,48
53,Urban,323448.9103177302,23,5797.321124559551,2.409029663805458,393.02528429822553,11-7,732.6883574712758,46
54,Suburban,350141.82148806273,22,1393.4459652858827,2.5104833625176886,106.7483004397492,10-6,213.25181701938047,36
55,Rural,386562.6411495288,5,7433.469963120462,3.0735362964968718,153.4473978552644,11-7,292.03141688204323,79
56,Rural,756052.9265290806,9,9577.175435284,3.5075715301578994,51.61423478810087,10-6,609.0195773213194,196
57,Urban,612276.3750078501,21,1389.8849342306085,2.922369257916773,145.58109761122154,nan,385.28016518940086,194
58,Suburban,810132.3753034001,47,1927.7574505015655,6.4667551171270565,112.54340344464885,11-7,388.62764398112,174
59,Suburban,847176.9218515467,30,5640.336763691813,5.600043490298457,466.39070733354237,nan,377.9833536100214,148
60,Suburban,858641.3733711538,38,9842.158939700648,6.856179323458891,407.3471363820754,9-5,983.2482948131244,196
61,nan,473179.7342573988,33,4703.110577297199,6.7784339392353505,470.8534021126429,10-6,426.4667493902692,192
62,Rural,479146.05668476975,39,6540.156590988391,8.696401805658253,147.64920451170468,11-7,317.1692082425577,56
63,Rural,933639.2921265255,22,7854.879972880338,1.3305398917400972,121.01612237808106,10-6,943.6875821132074,54
64,Rural,695587.2351439694,12,9351.280802947855,6.0194049406055505,293.50327029774377,9-5,966.3182109550064,178
65,Urban,172420.46558122488,48,2593.1498598308663,4.473474308806579,325.47461355414356,11-7,577.1637778420886,139
66,Rural,587968.2586832214,5,9202.834137884713,8.103381986362589,468.47221533442234,9-5,516.3759307215199,186
67,Suburban,420406.5336714163,13,6637.818224342184,3.0569927337645115,318.3824261076448,9-5,756.7640147309268,43
68,Urban,988691.4907447268,25,8250.462245415982,6.480565470692561,138.5277162699241,10-6,741.4165241075806,91
69,Suburban,112289.86581606332,6,3659.997001925051,3.4263408162067344,242.14582301757014,11-7,725.6055372041934,92
70,Rural,650962.7857635022,42,5500.908636664098,3.112040663474328,203.30562080794462,11-7,186.34117482012,41
71,Urban,751260.7849589722,32,2880.6327112077824,3.9505328655708087,71.57877761045712,9-5,905.2977469122483,73
72,Urban,360016.09422161966,48,8691.437202011162,1.5721816749983226,187.1674142684802,11-7,457.55850091905035,73
73,Rural,976277.3664308789,20,2841.211832590743,7.717476050845644,290.9511719082703,10-6,636.2409002070005,95
74,Urban,873582.9643195402,14,5934.941007196029,8.931790544235502,251.94553629058237,10-6,496.2694788162121,83
75,Urban,924087.5568872312,29,4761.218920351417,1.1528659855385701,96.43554419955731,10-6,910.9666915207487,100
76,Urban,117308.85341639363,13,1446.3056188496937,6.871981736268911,124.63008872736143,10-6,573.1468737213381,114
77,Urban,612884.936183328,49,4709.328843006166,6.066105966308941,472.22595247201787,9-5,627.4785028591701,178
78,Urban,365185.21775909205,30,8059.576773934538,9.148545101959158,111.30891559886989,11-7,933.1200918043498,86
79,Urban,864125.7714420967,40,5760.3926890219955,7.168242040616414,273.7545575906124,11-7,139.54429305915082,156
80,Rural,669564.6912234662,32,3743.1720159295705,4.767264775831024,484.7105627235667,9-5,442.25283298822586,195
81,Urban,584989.3038889987,39,5008.719838879397,,385.1891285546556,9-5,942.7039781582752,111
82,nan,203129.35270804513,6,7968.390397959821,2.144930358878981,379.72791317558585,10-6,451.3856949827369,49
83,Suburban,586200.5243075717,13,7013.383838055848,2.4593510821162607,370.0462995773923,11-7,354.5069987674574,70
84,Suburban,668713.731720784,20,1998.1291710174514,,478.5221366259791,9-5,292.8893803762117,64
85,Suburban,960321.0783791841,29,5781.219203748388,5.347810847450257,458.7045423311424,11-7,567.4371269207835,143
86,Urban,626545.9093814826,13,2788.257150933554,3.4014169962581566,231.0826902798472,11-7,424.4781402835609,70
87,Suburban,970660.541571089,22,9805.665782015254,,109.0852243284742,11-7,362.73986056183634,60
